week,city,new_customers,revenue,contribution_margin
2024-03-11,Munich,416,103296.7,0.549
2024-03-18,Munich,415,102913.0,0.549
2024-03-25,Munich,421,101231.71,0.549
2024-04-01,Munich,422,103749.79,0.549
2024-04-08,Munich,441,110576.68,0.549
2024-04-15,Munich,436,111018.96,0.549
2024-04-22,Munich,413,93198.62,0.549
2024-04-29,Munich,450,110495.25,0.549
2024-05-06,Munich,436,105648.73,0.549
2024-05-13,Munich,441,108116.6,0.549
2024-05-20,Munich,420,107119.0,0.549
2024-05-27,Munich,460,114864.22,0.549
2024-06-03,Munich,447,109881.93,0.549
2024-06-10,Munich,413,92030.98,0.549
2024-06-17,Munich,425,104774.71,0.549
2024-06-24,Munich,422,105815.31,0.549
2024-07-01,Munich,455,113863.75,0.549
2024-07-08,Munich,469,127553.01,0.549
2024-07-15,Munich,453,113659.9,0.549
2024-07-22,Munich,464,115437.06,0.549
2024-07-29,Munich,437,108863.02,0.549
2024-08-05,Munich,426,108251.51,0.549
2024-08-12,Munich,445,113378.94,0.549
2024-08-19,Munich,435,103553.13,0.549
2024-08-26,Munich,423,103393.24,0.549
2024-09-02,Munich,409,101452.75,0.549
2024-09-09,Munich,429,106210.72,0.549
2024-09-16,Munich,412,106661.36,0.549
2024-09-23,Munich,439,107385.75,0.549
2024-09-30,Munich,416,101737.13,0.549
2024-10-07,Munich,399,100724.24,0.549
2024-10-14,Munich,415,103037.66,0.549
2024-10-21,Munich,420,109491.46,0.549
2024-10-28,Munich,423,98473.49,0.549
2024-11-04,Munich,426,103759.94,0.549
2024-11-11,Munich,404,102860.46,0.549
2024-11-18,Munich,415,96637.59,0.549
2024-11-25,Munich,406,108536.15,0.549
2024-12-02,Munich,374,88948.81,0.549
2024-12-09,Munich,407,107371.82,0.549
2024-12-16,Munich,400,97959.96,0.549
2024-12-23,Munich,415,105683.36,0.549
2024-12-30,Munich,394,100448.3,0.549
2025-01-06,Munich,398,96292.36,0.549
2025-01-13,Munich,398,99576.72,0.549
2025-01-20,Munich,435,105671.45,0.549
2025-01-27,Munich,401,102653.14,0.549
2025-02-03,Munich,419,100095.59,0.549
2025-02-10,Munich,427,106028.2,0.549
2025-02-17,Munich,418,100910.04,0.549
2025-02-24,Munich,430,108256.68,0.549
2025-03-03,Munich,414,108669.48,0.549
2025-03-10,Munich,439,113131.35,0.549
2025-03-17,Munich,451,114862.85,0.549
2025-03-24,Munich,416,103971.59,0.549
2025-03-31,Munich,432,109313.54,0.549
2025-04-07,Munich,430,103946.03,0.549
2025-04-14,Munich,430,111077.97,0.549
2025-04-21,Munich,430,106414.53,0.549
2025-04-28,Munich,444,112163.06,0.549
2025-05-05,Munich,423,107085.73,0.549
2025-05-12,Munich,453,115830.17,0.549
2025-05-19,Munich,452,119188.26,0.549
2025-05-26,Munich,482,115262.41,0.549
2025-06-02,Munich,450,117378.7,0.549
2025-06-09,Munich,441,109905.38,0.549
2025-06-16,Munich,482,128738.64,0.549
2025-06-23,Munich,441,109402.2,0.549
2025-06-30,Munich,454,112642.12,0.549
2025-07-07,Munich,442,109383.97,0.549
2025-07-14,Munich,443,114229.34,0.549
2025-07-21,Munich,460,104527.33,0.549
2025-07-28,Munich,446,112066.08,0.549
2025-08-04,Munich,485,126391.01,0.549
2025-08-11,Munich,472,117619.05,0.549
2025-08-18,Munich,442,104683.05,0.549
2025-08-25,Munich,477,120287.22,0.549
2025-09-01,Munich,459,107350.57,0.549
2025-09-08,Munich,441,110419.68,0.549
2025-09-15,Munich,463,112970.55,0.549
2025-09-22,Munich,438,114786.08,0.549
2025-09-29,Munich,427,112767.15,0.549
2025-10-06,Munich,436,101237.67,0.549
2025-10-13,Munich,421,107839.73,0.549
2025-10-20,Munich,455,124191.6,0.549
2025-10-27,Munich,448,111453.74,0.549
2025-11-03,Munich,448,114313.85,0.549
2025-11-10,Munich,444,114748.78,0.549
2025-11-17,Munich,439,115520.32,0.549
2025-11-24,Munich,427,104245.07,0.549
2025-12-01,Munich,422,109650.04,0.549
2025-12-08,Munich,441,105327.19,0.549
2025-12-15,Munich,450,111482.69,0.549
2025-12-22,Munich,429,108832.57,0.549
2024-01-01,Hamburg,387,111461.93,0.45
2024-01-08,Hamburg,350,104092.7,0.45
2024-01-15,Hamburg,378,104930.98,0.45
2024-01-22,Hamburg,352,105621.02,0.45
2024-01-29,Hamburg,392,103078.12,0.45
2024-02-05,Hamburg,375,113715.78,0.45
2024-02-12,Hamburg,373,114509.18,0.45
2024-02-19,Hamburg,388,113861.63,0.45
2024-02-26,Hamburg,372,105884.33,0.45
2024-03-04,Hamburg,346,90717.08,0.45
2024-03-11,Hamburg,389,109546.75,0.45
2024-03-18,Hamburg,379,105356.9,0.45
2024-03-25,Hamburg,369,108296.14,0.45
2024-04-01,Hamburg,368,106057.21,0.45
2024-04-08,Hamburg,406,115540.3,0.45
2024-04-15,Hamburg,408,117510.01,0.45
2024-04-22,Hamburg,408,117367.01,0.45
2024-04-29,Hamburg,419,126907.94,0.45
2024-05-06,Hamburg,417,121009.05,0.45
2024-05-13,Hamburg,404,120437.71,0.45
2024-05-20,Hamburg,411,114617.43,0.45
2024-05-27,Hamburg,417,124710.63,0.45
2024-06-03,Hamburg,420,117998.65,0.45
2024-06-10,Hamburg,412,124642.84,0.45
2024-06-17,Hamburg,404,123527.29,0.45
2024-06-24,Hamburg,410,113971.25,0.45
2024-07-01,Hamburg,406,112519.96,0.45
2024-07-08,Hamburg,414,115756.64,0.45
2024-07-15,Hamburg,381,107632.79,0.45
2024-07-22,Hamburg,412,113269.88,0.45
2024-07-29,Hamburg,398,104843.46,0.45
2024-08-05,Hamburg,397,111710.78,0.45
2024-08-12,Hamburg,405,122386.43,0.45
2024-08-19,Hamburg,398,124196.32,0.45
2024-08-26,Hamburg,400,112671.09,0.45
2024-09-02,Hamburg,415,118115.98,0.45
2024-09-09,Hamburg,392,115802.72,0.45
2024-09-16,Hamburg,413,111163.75,0.45
2024-09-23,Hamburg,377,112423.13,0.45
2024-09-30,Hamburg,388,113880.28,0.45
2024-10-07,Hamburg,402,115736.7,0.45
2024-10-14,Hamburg,392,114832.32,0.45
2024-10-21,Hamburg,375,109920.56,0.45
2024-10-28,Hamburg,382,107661.97,0.45
2024-11-04,Hamburg,395,123265.71,0.45
2024-11-11,Hamburg,379,115826.92,0.45
2024-11-18,Hamburg,396,115950.88,0.45
2024-11-25,Hamburg,369,106724.5,0.45
2024-12-02,Hamburg,393,114412.18,0.45
2024-12-09,Hamburg,368,101340.3,0.45
2024-12-16,Hamburg,383,110485.88,0.45
2024-12-23,Hamburg,398,108786.87,0.45
2024-12-30,Hamburg,397,112376.72,0.45
2025-01-06,Hamburg,417,116245.91,0.45
2025-01-13,Hamburg,400,116436.77,0.45
2025-01-20,Hamburg,371,107141.72,0.45
2025-01-27,Hamburg,398,103900.93,0.45
2025-02-03,Hamburg,402,115176.65,0.45
2025-02-10,Hamburg,371,108711.7,0.45
2025-02-17,Hamburg,384,122204.28,0.45
2025-02-24,Hamburg,410,117481.5,0.45
2025-03-03,Hamburg,391,118967.09,0.45
2025-03-10,Hamburg,396,112865.4,0.45
2025-03-17,Hamburg,399,114198.38,0.45
2025-03-24,Hamburg,421,120421.48,0.45
2025-03-31,Hamburg,409,116474.82,0.45
2025-04-07,Hamburg,425,123050.74,0.45
2025-04-14,Hamburg,384,114483.68,0.45
2025-04-21,Hamburg,404,114245.28,0.45
2025-04-28,Hamburg,427,123307.81,0.45
2025-05-05,Hamburg,397,104150.85,0.45
2025-05-12,Hamburg,415,118987.35,0.45
2025-05-19,Hamburg,398,116293.96,0.45
2025-05-26,Hamburg,415,122493.94,0.45
2025-06-02,Hamburg,428,132452.44,0.45
2025-06-09,Hamburg,422,118971.56,0.45
2025-06-16,Hamburg,442,128470.68,0.45
2025-06-23,Hamburg,415,120045.01,0.45
2025-06-30,Hamburg,444,132489.22,0.45
2025-07-07,Hamburg,452,139173.94,0.45
2025-07-14,Hamburg,419,126361.13,0.45
2025-07-21,Hamburg,443,124265.83,0.45
2025-07-28,Hamburg,426,125279.05,0.45
2025-08-04,Hamburg,440,126372.7,0.45
2025-08-11,Hamburg,411,115932.11,0.45
2025-08-18,Hamburg,416,121638.19,0.45
2025-08-25,Hamburg,425,124395.31,0.45
2025-09-01,Hamburg,427,120004.65,0.45
2025-09-08,Hamburg,429,120012.84,0.45
2025-09-15,Hamburg,403,111768.36,0.45
2025-09-22,Hamburg,432,126671.83,0.45
2025-09-29,Hamburg,417,124684.09,0.45
2025-10-06,Hamburg,428,130662.47,0.45
2025-10-13,Hamburg,410,114182.19,0.45
2025-10-20,Hamburg,381,105676.43,0.45
2025-10-27,Hamburg,376,113885.37,0.45
2025-11-03,Hamburg,405,119704.34,0.45
2025-11-10,Hamburg,426,122843.27,0.45
2025-11-17,Hamburg,416,111582.03,0.45
2025-11-24,Hamburg,392,111731.09,0.45
2025-12-01,Hamburg,403,119077.44,0.45
2025-12-08,Hamburg,398,125283.25,0.45
2025-12-15,Hamburg,400,125671.49,0.45
2025-12-22,Hamburg,412,116317.93,0.45
2024-01-01,Cologne,306,70195.25,0.478
2024-01-08,Cologne,272,60707.47,0.478
2024-01-15,Cologne,288,66708.55,0.478
2024-01-22,Cologne,305,69451.51,0.478
2024-01-29,Cologne,280,66108.07,0.478
2024-02-05,Cologne,304,71645.57,0.478
2024-02-12,Cologne,305,70401.41,0.478
2024-02-19,Cologne,300,73848.49,0.478
2024-02-26,Cologne,329,76556.39,0.478
2024-03-04,Cologne,327,74620.33,0.478
2024-03-11,Cologne,320,73500.87,0.478
2024-03-18,Cologne,319,73470.45,0.478
2024-03-25,Cologne,306,74513.11,0.478
2024-04-01,Cologne,334,80707.21,0.478
2024-04-08,Cologne,325,73834.5,0.478
2024-04-15,Cologne,338,76572.35,0.478
2024-04-22,Cologne,324,79074.2,0.478
2024-04-29,Cologne,323,72774.63,0.478
2024-05-06,Cologne,334,78630.18,0.478
2024-05-13,Cologne,326,77674.51,0.478
2024-05-20,Cologne,318,73380.41,0.478
2024-05-27,Cologne,354,87535.79,0.478
2024-06-03,Cologne,338,79108.82,0.478
2024-06-10,Cologne,316,75858.5,0.478
2024-06-17,Cologne,354,81664.34,0.478
2024-06-24,Cologne,350,89021.45,0.478
2024-07-01,Cologne,316,74009.25,0.478
2024-07-08,Cologne,349,81900.09,0.478
2024-07-15,Cologne,344,81675.23,0.478
2024-07-22,Cologne,316,70397.86,0.478
2024-07-29,Cologne,342,80099.29,0.478
2024-08-05,Cologne,323,79978.24,0.478
2024-08-12,Cologne,328,74890.4,0.478
2024-08-19,Cologne,341,82655.22,0.478
2024-08-26,Cologne,346,79216.18,0.478
2024-09-02,Cologne,332,78462.65,0.478
2024-09-09,Cologne,348,84435.27,0.478
2024-09-16,Cologne,329,76463.84,0.478
2024-09-23,Cologne,333,73546.78,0.478
2024-09-30,Cologne,312,71084.52,0.478
2024-10-07,Cologne,316,72592.35,0.478
2024-10-14,Cologne,319,75436.28,0.478
2024-10-21,Cologne,315,70898.44,0.478
2024-10-28,Cologne,315,74703.39,0.478
2024-11-04,Cologne,316,79954.08,0.478
2024-11-11,Cologne,325,76866.19,0.478
2024-11-18,Cologne,315,74140.47,0.478
2024-11-25,Cologne,325,78769.77,0.478
2024-12-02,Cologne,323,76367.37,0.478
2024-12-09,Cologne,287,66692.3,0.478
2024-12-16,Cologne,317,75084.03,0.478
2024-12-23,Cologne,308,79526.55,0.478
2024-12-30,Cologne,329,75907.32,0.478
2025-01-06,Cologne,305,69329.87,0.478
2025-01-13,Cologne,317,73406.48,0.478
2025-01-20,Cologne,301,65681.37,0.478
2025-01-27,Cologne,320,82438.84,0.478
2025-02-03,Cologne,340,80179.18,0.478
2025-02-10,Cologne,312,78391.05,0.478
2025-02-17,Cologne,336,85242.15,0.478
2025-02-24,Cologne,329,77988.58,0.478
2025-03-03,Cologne,334,80629.7,0.478
2025-03-10,Cologne,309,71319.2,0.478
2025-03-17,Cologne,322,75344.23,0.478
2025-03-24,Cologne,340,79407.32,0.478
2025-03-31,Cologne,344,85156.76,0.478
2025-04-07,Cologne,318,77497.74,0.478
2025-04-14,Cologne,350,83976.92,0.478
2025-04-21,Cologne,352,76782.35,0.478
2025-04-28,Cologne,336,74973.64,0.478
2025-05-05,Cologne,327,76101.86,0.478
2025-05-12,Cologne,364,87415.36,0.478
2025-05-19,Cologne,359,88968.94,0.478
2025-05-26,Cologne,372,84773.39,0.478
2025-06-02,Cologne,378,91411.45,0.478
2025-06-09,Cologne,350,80235.43,0.478
2025-06-16,Cologne,369,87657.96,0.478
2025-06-23,Cologne,383,90691.16,0.478
2025-06-30,Cologne,340,75764.85,0.478
2025-07-07,Cologne,389,92816.09,0.478
2025-07-14,Cologne,354,79187.81,0.478
2025-07-21,Cologne,360,83853.72,0.478
2025-07-28,Cologne,379,85760.92,0.478
2025-08-04,Cologne,356,84245.82,0.478
2025-08-11,Cologne,360,83226.52,0.478
2025-08-18,Cologne,340,78990.15,0.478
2025-08-25,Cologne,385,88558.47,0.478
2025-09-01,Cologne,351,81073.55,0.478
2025-09-08,Cologne,369,88810.2,0.478
2025-09-15,Cologne,325,70009.84,0.478
2025-09-22,Cologne,355,89784.26,0.478
2025-09-29,Cologne,336,77220.71,0.478
2025-10-06,Cologne,296,71857.51,0.478
2025-10-13,Cologne,335,80568.68,0.478
2025-10-20,Cologne,308,69278.78,0.478
2025-10-27,Cologne,312,76874.61,0.478
2025-11-03,Cologne,322,76219.25,0.478
2025-11-10,Cologne,340,81489.37,0.478
2025-11-17,Cologne,303,70444.03,0.478
2025-11-24,Cologne,299,72963.7,0.478
2025-12-01,Cologne,291,66048.59,0.478
2025-12-08,Cologne,345,82046.06,0.478
2025-12-15,Cologne,304,67236.75,0.478
2025-12-22,Cologne,327,79351.15,0.478
2024-01-01,Frankfurt,306,82350.16,0.445
2024-01-08,Frankfurt,289,78623.14,0.445
2024-01-15,Frankfurt,276,81094.04,0.445
2024-01-22,Frankfurt,309,87347.66,0.445
2024-01-29,Frankfurt,271,76264.46,0.445
2024-02-05,Frankfurt,263,76356.0,0.445
2024-02-12,Frankfurt,271,74341.34,0.445
2024-02-19,Frankfurt,259,70525.29,0.445
2024-02-26,Frankfurt,310,83418.5,0.445
2024-03-04,Frankfurt,288,83572.29,0.445
2024-03-11,Frankfurt,298,83972.74,0.445
2024-03-18,Frankfurt,316,96086.29,0.445
2024-03-25,Frankfurt,339,98356.46,0.445
2024-04-01,Frankfurt,301,86316.87,0.445
2024-04-08,Frankfurt,304,84988.25,0.445
2024-04-15,Frankfurt,322,95903.93,0.445
2024-04-22,Frankfurt,320,93229.88,0.445
2024-04-29,Frankfurt,321,89497.05,0.445
2024-05-06,Frankfurt,331,90073.01,0.445
2024-05-13,Frankfurt,309,86613.23,0.445
2024-05-20,Frankfurt,317,86284.68,0.445
2024-05-27,Frankfurt,350,104097.73,0.445
2024-06-03,Frankfurt,300,90987.95,0.445
2024-06-10,Frankfurt,325,94551.51,0.445
2024-06-17,Frankfurt,320,94474.34,0.445
2024-06-24,Frankfurt,353,102639.48,0.445
2024-07-01,Frankfurt,333,97740.27,0.445
2024-07-08,Frankfurt,317,88332.16,0.445
2024-07-15,Frankfurt,313,80933.23,0.445
2024-07-22,Frankfurt,327,95946.03,0.445
2024-07-29,Frankfurt,327,94670.35,0.445
2024-08-05,Frankfurt,326,102877.99,0.445
2024-08-12,Frankfurt,307,85303.19,0.445
2024-08-19,Frankfurt,325,96752.85,0.445
2024-08-26,Frankfurt,315,90990.48,0.445
2024-09-02,Frankfurt,302,79866.92,0.445
2024-09-09,Frankfurt,334,91236.49,0.445
2024-09-16,Frankfurt,305,85732.6,0.445
2024-09-23,Frankfurt,329,99200.38,0.445
2024-09-30,Frankfurt,313,89055.39,0.445
2024-10-07,Frankfurt,308,92440.44,0.445
2024-10-14,Frankfurt,309,90394.07,0.445
2024-10-21,Frankfurt,324,99928.58,0.445
2024-10-28,Frankfurt,304,86869.69,0.445
2024-11-04,Frankfurt,295,77137.86,0.445
2024-11-11,Frankfurt,279,78693.59,0.445
2024-11-18,Frankfurt,326,99355.94,0.445
2024-11-25,Frankfurt,319,92693.88,0.445
2024-12-02,Frankfurt,303,80123.14,0.445
2024-12-09,Frankfurt,308,89891.44,0.445
2024-12-16,Frankfurt,273,81504.38,0.445
2024-12-23,Frankfurt,280,82513.03,0.445
2024-12-30,Frankfurt,287,82923.34,0.445
2025-01-06,Frankfurt,282,81538.13,0.445
2025-01-13,Frankfurt,286,79319.95,0.445
2025-01-20,Frankfurt,324,95724.51,0.445
2025-01-27,Frankfurt,312,86960.22,0.445
2025-02-03,Frankfurt,298,82409.0,0.445
2025-02-10,Frankfurt,282,82079.79,0.445
2025-02-17,Frankfurt,310,88122.65,0.445
2025-02-24,Frankfurt,318,91241.23,0.445
2025-03-03,Frankfurt,308,95652.5,0.445
2025-03-10,Frankfurt,316,92722.01,0.445
2025-03-17,Frankfurt,320,96750.04,0.445
2025-03-24,Frankfurt,324,96972.29,0.445
2025-03-31,Frankfurt,321,93168.77,0.445
2025-04-07,Frankfurt,338,102259.76,0.445
2025-04-14,Frankfurt,327,88176.55,0.445
2025-04-21,Frankfurt,317,92222.76,0.445
2025-04-28,Frankfurt,347,98241.68,0.445
2025-05-05,Frankfurt,339,92827.13,0.445
2025-05-12,Frankfurt,318,90918.65,0.445
2025-05-19,Frankfurt,349,97794.2,0.445
2025-05-26,Frankfurt,316,87509.71,0.445
2025-06-02,Frankfurt,363,104429.81,0.445
2025-06-09,Frankfurt,340,97310.13,0.445
2025-06-16,Frankfurt,334,97374.54,0.445
2025-06-23,Frankfurt,351,98376.26,0.445
2025-06-30,Frankfurt,348,91964.84,0.445
2025-07-07,Frankfurt,356,106446.95,0.445
2025-07-14,Frankfurt,302,87544.95,0.445
2025-07-21,Frankfurt,350,93571.9,0.445
2025-07-28,Frankfurt,337,95979.98,0.445
2025-08-04,Frankfurt,341,94441.09,0.445
2025-08-11,Frankfurt,325,95106.93,0.445
2025-08-18,Frankfurt,323,93925.48,0.445
2025-08-25,Frankfurt,329,95268.59,0.445
2025-09-01,Frankfurt,342,95691.91,0.445
2025-09-08,Frankfurt,323,91369.5,0.445
2025-09-15,Frankfurt,336,97823.3,0.445
2025-09-22,Frankfurt,339,93808.44,0.445
2025-09-29,Frankfurt,328,97184.99,0.445
2025-10-06,Frankfurt,314,95697.26,0.445
2025-10-13,Frankfurt,318,91149.87,0.445
2025-10-20,Frankfurt,317,90125.49,0.445
2025-10-27,Frankfurt,331,94929.59,0.445
2025-11-03,Frankfurt,317,89299.11,0.445
2025-11-10,Frankfurt,320,89078.53,0.445
2025-11-17,Frankfurt,321,87743.03,0.445
2025-11-24,Frankfurt,328,94033.58,0.445
2025-12-01,Frankfurt,312,91954.7,0.445
2025-12-08,Frankfurt,313,87624.44,0.445
2025-12-15,Frankfurt,302,93290.64,0.445
2025-12-22,Frankfurt,302,86209.37,0.445
2024-01-01,Stuttgart,239,65207.72,0.485
2024-01-08,Stuttgart,240,71830.71,0.485
2024-01-15,Stuttgart,233,62308.28,0.485
2024-01-22,Stuttgart,276,72763.12,0.485
2024-01-29,Stuttgart,238,64396.94,0.485
2024-02-05,Stuttgart,222,62701.92,0.485
2024-02-12,Stuttgart,234,60013.81,0.485
2024-02-19,Stuttgart,254,67407.39,0.485
2024-02-26,Stuttgart,259,68384.72,0.485
2024-03-04,Stuttgart,254,71562.06,0.485
2024-03-11,Stuttgart,262,72938.26,0.485
2024-03-18,Stuttgart,291,77158.3,0.485
2024-03-25,Stuttgart,263,71245.08,0.485
2024-04-01,Stuttgart,274,68878.03,0.485
2024-04-08,Stuttgart,259,72503.53,0.485
2024-04-15,Stuttgart,259,70279.02,0.485
2024-04-22,Stuttgart,256,69896.97,0.485
2024-04-29,Stuttgart,265,74592.78,0.485
2024-05-06,Stuttgart,265,75590.96,0.485
2024-05-13,Stuttgart,272,73243.13,0.485
2024-05-20,Stuttgart,292,78674.6,0.485
2024-05-27,Stuttgart,271,73494.44,0.485
2024-06-03,Stuttgart,280,76122.19,0.485
2024-06-10,Stuttgart,266,78395.13,0.485
2024-06-17,Stuttgart,274,77925.42,0.485
2024-06-24,Stuttgart,291,80332.23,0.485
2024-07-01,Stuttgart,266,73535.13,0.485
2024-07-08,Stuttgart,305,82707.89,0.485
2024-07-15,Stuttgart,296,82227.16,0.485
2024-07-22,Stuttgart,282,75012.02,0.485
2024-07-29,Stuttgart,261,77675.18,0.485
2024-08-05,Stuttgart,272,67685.78,0.485
2024-08-12,Stuttgart,269,73182.33,0.485
2024-08-19,Stuttgart,269,72754.16,0.485
2024-08-26,Stuttgart,286,81094.05,0.485
2024-09-02,Stuttgart,266,74236.75,0.485
2024-09-09,Stuttgart,300,77848.36,0.485
2024-09-16,Stuttgart,263,69238.47,0.485
2024-09-23,Stuttgart,258,69577.67,0.485
2024-09-30,Stuttgart,256,72251.23,0.485
2024-10-07,Stuttgart,253,66971.54,0.485
2024-10-14,Stuttgart,254,65077.18,0.485
2024-10-21,Stuttgart,270,73332.36,0.485
2024-10-28,Stuttgart,242,67021.46,0.485
2024-11-04,Stuttgart,248,65470.61,0.485
2024-11-11,Stuttgart,261,73503.22,0.485
2024-11-18,Stuttgart,265,68976.28,0.485
2024-11-25,Stuttgart,281,77102.57,0.485
2024-12-02,Stuttgart,270,70494.33,0.485
2024-12-09,Stuttgart,252,70416.16,0.485
2024-12-16,Stuttgart,243,67962.87,0.485
2024-12-23,Stuttgart,269,72478.25,0.485
2024-12-30,Stuttgart,265,70807.62,0.485
2025-01-06,Stuttgart,270,73879.82,0.485
2025-01-13,Stuttgart,262,73138.78,0.485
2025-01-20,Stuttgart,251,67131.22,0.485
2025-01-27,Stuttgart,258,73716.23,0.485
2025-02-03,Stuttgart,242,62478.94,0.485
2025-02-10,Stuttgart,222,64341.35,0.485
2025-02-17,Stuttgart,269,73216.72,0.485
2025-02-24,Stuttgart,251,69365.12,0.485
2025-03-03,Stuttgart,288,77191.91,0.485
2025-03-10,Stuttgart,268,72969.83,0.485
2025-03-17,Stuttgart,291,72647.49,0.485
2025-03-24,Stuttgart,279,78495.01,0.485
2025-03-31,Stuttgart,250,71479.82,0.485
2025-04-07,Stuttgart,286,78045.33,0.485
2025-04-14,Stuttgart,288,82791.56,0.485
2025-04-21,Stuttgart,243,66880.67,0.485
2025-04-28,Stuttgart,326,85186.36,0.485
2025-05-05,Stuttgart,286,76828.6,0.485
