week,city,channel,spend,impressions,clicks,attributed_conversions
2024-03-04,Berlin,Google Ads,9757.6,291875,4577,199
2024-03-04,Berlin,Meta,9229.92,283381,8114,369
2024-03-04,Berlin,Email,0.0,10705,534,30
2024-03-04,Berlin,Organic,0.0,23779,889,47
2024-03-04,Berlin,Affiliate,3064.58,110256,3017,175
2024-03-11,Berlin,Google Ads,10355.13,332648,5791,316
2024-03-11,Berlin,Meta,8591.65,268324,4384,267
2024-03-11,Berlin,Email,0.0,14231,657,64
2024-03-11,Berlin,Organic,0.0,16851,471,32
2024-03-11,Berlin,Affiliate,3105.15,95390,1921,113
2024-03-18,Berlin,Google Ads,9861.15,300127,8877,514
2024-03-18,Berlin,Meta,8835.67,299627,8348,493
2024-03-18,Berlin,Email,0.0,10121,311,19
2024-03-18,Berlin,Organic,0.0,33074,813,58
2024-03-18,Berlin,Affiliate,2779.7,89980,2542,155
2024-03-25,Berlin,Google Ads,9564.08,275588,4681,158
2024-03-25,Berlin,Meta,8962.75,346000,10326,465
2024-03-25,Berlin,Email,0.0,9976,487,27
2024-03-25,Berlin,Organic,0.0,35664,1381,110
2024-03-25,Berlin,Affiliate,2773.32,82981,1350,68
2024-04-01,Berlin,Google Ads,10331.39,326767,6718,333
2024-04-01,Berlin,Meta,9332.86,349952,8903,311
2024-04-01,Berlin,Email,0.0,9217,453,34
2024-04-01,Berlin,Organic,0.0,38969,1404,56
2024-04-01,Berlin,Affiliate,2931.15,92315,2076,109
2024-04-08,Berlin,Google Ads,10376.7,338172,9831,627
2024-04-08,Berlin,Meta,9202.44,331124,9475,456
2024-04-08,Berlin,Email,0.0,9585,572,53
2024-04-08,Berlin,Organic,0.0,34464,1237,49
2024-04-08,Berlin,Affiliate,3333.15,111441,2587,123
2024-04-15,Berlin,Google Ads,10063.32,359615,8958,576
2024-04-15,Berlin,Meta,9044.29,304946,8688,438
2024-04-15,Berlin,Email,0.0,9170,324,32
2024-04-15,Berlin,Organic,0.0,22483,895,68
2024-04-15,Berlin,Affiliate,3020.36,109970,3059,95
2024-04-22,Berlin,Google Ads,10253.7,294808,7093,325
2024-04-22,Berlin,Meta,8334.05,301099,7218,326
2024-04-22,Berlin,Email,0.0,11768,466,25
2024-04-22,Berlin,Organic,0.0,37993,1469,109
2024-04-22,Berlin,Affiliate,3034.4,96125,2514,170
2024-04-29,Berlin,Google Ads,10343.08,386586,10631,515
2024-04-29,Berlin,Meta,9626.61,317703,5384,250
2024-04-29,Berlin,Email,0.0,19170,784,60
2024-04-29,Berlin,Organic,0.0,39797,1368,74
2024-04-29,Berlin,Affiliate,2519.31,79091,1500,89
2024-05-06,Berlin,Google Ads,9826.58,332298,5425,250
2024-05-06,Berlin,Meta,8542.83,257763,7958,241
2024-05-06,Berlin,Email,0.0,12011,495,46
2024-05-06,Berlin,Organic,0.0,35109,766,48
2024-05-06,Berlin,Affiliate,2998.38,91720,2414,167
2024-05-13,Berlin,Google Ads,9707.78,383721,8771,302
2024-05-13,Berlin,Meta,8967.47,311280,7702,326
2024-05-13,Berlin,Email,0.0,14556,687,58
2024-05-13,Berlin,Organic,0.0,35978,887,40
2024-05-13,Berlin,Affiliate,3255.42,99328,2640,168
2024-05-20,Berlin,Google Ads,9644.8,307020,9063,273
2024-05-20,Berlin,Meta,8015.2,299326,10160,391
2024-05-20,Berlin,Email,0.0,11983,607,55
2024-05-20,Berlin,Organic,0.0,31175,1110,63
2024-05-20,Berlin,Affiliate,2822.3,85599,2522,160
2024-05-27,Berlin,Google Ads,9181.2,354547,11048,684
2024-05-27,Berlin,Meta,9584.51,272116,7593,403
2024-05-27,Berlin,Email,0.0,13037,577,46
2024-05-27,Berlin,Organic,0.0,27010,778,43
2024-05-27,Berlin,Affiliate,3110.96,88065,3005,149
2024-06-03,Berlin,Google Ads,9970.09,321409,7165,337
2024-06-03,Berlin,Meta,8739.82,280686,7549,368
2024-06-03,Berlin,Email,0.0,17113,827,69
2024-06-03,Berlin,Organic,0.0,20074,470,19
2024-06-03,Berlin,Affiliate,3150.42,118980,3488,160
2024-06-10,Berlin,Google Ads,8889.7,319426,8827,458
2024-06-10,Berlin,Meta,8988.24,262920,6148,354
2024-06-10,Berlin,Email,0.0,12871,536,37
2024-06-10,Berlin,Organic,0.0,27598,646,34
2024-06-10,Berlin,Affiliate,2485.31,75398,1436,92
2024-06-17,Berlin,Google Ads,9830.14,341039,11247,744
2024-06-17,Berlin,Meta,8910.69,274063,7634,486
2024-06-17,Berlin,Email,0.0,14023,498,44
2024-06-17,Berlin,Organic,0.0,29958,900,60
2024-06-17,Berlin,Affiliate,2942.82,83338,1918,58
2024-06-24,Berlin,Google Ads,9860.12,280397,5745,368
2024-06-24,Berlin,Meta,8469.06,266019,8245,431
2024-06-24,Berlin,Email,0.0,8691,492,30
2024-06-24,Berlin,Organic,0.0,26264,773,54
2024-06-24,Berlin,Affiliate,3265.68,99686,2900,157
2024-07-01,Berlin,Google Ads,11256.16,420026,13650,658
2024-07-01,Berlin,Meta,9743.45,287028,7252,263
2024-07-01,Berlin,Email,0.0,15518,675,62
2024-07-01,Berlin,Organic,0.0,32843,970,41
2024-07-01,Berlin,Affiliate,2658.46,102729,2669,163
2024-07-08,Berlin,Google Ads,10422.87,387184,8379,276
2024-07-08,Berlin,Meta,8984.14,316423,9455,587
2024-07-08,Berlin,Email,0.0,15984,791,66
2024-07-08,Berlin,Organic,0.0,32930,675,34
2024-07-08,Berlin,Affiliate,3019.12,97698,3270,161
2024-07-15,Berlin,Google Ads,9568.16,286595,9321,594
2024-07-15,Berlin,Meta,9552.25,267734,6222,278
2024-07-15,Berlin,Email,0.0,12794,388,21
2024-07-15,Berlin,Organic,0.0,19466,402,16
2024-07-15,Berlin,Affiliate,2977.12,112613,3251,216
2024-07-22,Berlin,Google Ads,10370.43,335388,6287,282
2024-07-22,Berlin,Meta,9029.82,347097,5262,187
2024-07-22,Berlin,Email,0.0,10466,506,42
2024-07-22,Berlin,Organic,0.0,20718,605,48
2024-07-22,Berlin,Affiliate,2960.34,110132,2658,118
2024-07-29,Berlin,Google Ads,9692.71,326188,5998,233
2024-07-29,Berlin,Meta,8737.28,298393,5374,300
2024-07-29,Berlin,Email,0.0,14830,615,34
2024-07-29,Berlin,Organic,0.0,24445,598,36
2024-07-29,Berlin,Affiliate,2785.79,92148,2824,142
2024-08-05,Berlin,Google Ads,9192.51,263403,6095,378
2024-08-05,Berlin,Meta,9553.92,337881,6535,335
2024-08-05,Berlin,Email,0.0,16871,823,70
2024-08-05,Berlin,Organic,0.0,37079,1054,45
2024-08-05,Berlin,Affiliate,2862.11,84936,1977,89
2024-08-12,Berlin,Google Ads,9485.92,311001,10454,571
2024-08-12,Berlin,Meta,9878.58,341665,6563,350
2024-08-12,Berlin,Email,0.0,14207,624,33
2024-08-12,Berlin,Organic,0.0,19497,614,30
2024-08-12,Berlin,Affiliate,2899.5,114493,2700,149
2024-08-19,Berlin,Google Ads,10163.5,373880,10752,451
2024-08-19,Berlin,Meta,9209.0,291161,9374,445
2024-08-19,Berlin,Email,0.0,9930,513,27
2024-08-19,Berlin,Organic,0.0,35358,1133,69
2024-08-19,Berlin,Affiliate,2903.43,86843,2240,108
2024-08-26,Berlin,Google Ads,10338.23,352545,11830,777
2024-08-26,Berlin,Meta,8869.64,295474,4509,237
2024-08-26,Berlin,Email,0.0,19712,1012,54
2024-08-26,Berlin,Organic,0.0,34886,851,47
2024-08-26,Berlin,Affiliate,2577.68,90974,2101,123
2024-09-02,Berlin,Google Ads,9448.57,268063,4949,157
2024-09-02,Berlin,Meta,8135.36,280707,6967,354
2024-09-02,Berlin,Email,0.0,8339,470,26
2024-09-02,Berlin,Organic,0.0,20353,471,31
2024-09-02,Berlin,Affiliate,3231.8,114842,3712,201
2024-09-09,Berlin,Google Ads,10080.0,392246,7682,373
2024-09-09,Berlin,Meta,9584.26,301367,10131,422
2024-09-09,Berlin,Email,0.0,12960,427,31
2024-09-09,Berlin,Organic,0.0,22475,586,35
2024-09-09,Berlin,Affiliate,3082.88,90217,2642,121
2024-09-16,Berlin,Google Ads,10183.41,374563,8548,414
2024-09-16,Berlin,Meta,8614.44,274517,6005,198
2024-09-16,Berlin,Email,0.0,13033,779,66
2024-09-16,Berlin,Organic,0.0,22640,504,23
2024-09-16,Berlin,Affiliate,3092.34,121202,2561,77
2024-09-23,Berlin,Google Ads,10031.13,379180,8046,525
2024-09-23,Berlin,Meta,9433.11,293956,10163,493
2024-09-23,Berlin,Email,0.0,19466,613,56
2024-09-23,Berlin,Organic,0.0,36580,918,54
2024-09-23,Berlin,Affiliate,2869.12,110999,2876,181
2024-09-30,Berlin,Google Ads,9785.85,292901,4542,159
2024-09-30,Berlin,Meta,8584.7,306427,9842,433
2024-09-30,Berlin,Email,0.0,17603,803,51
2024-09-30,Berlin,Organic,0.0,29314,721,47
2024-09-30,Berlin,Affiliate,3118.64,110145,2376,86
2024-10-07,Berlin,Google Ads,10063.77,285469,8655,313
2024-10-07,Berlin,Meta,9250.15,293498,9273,379
2024-10-07,Berlin,Email,0.0,19756,925,80
2024-10-07,Berlin,Organic,0.0,36223,1139,50
2024-10-07,Berlin,Affiliate,2883.14,115160,3133,184
2024-10-14,Berlin,Google Ads,11112.31,350076,7229,476
2024-10-14,Berlin,Meta,9158.63,285337,5628,265
2024-10-14,Berlin,Email,0.0,16475,641,50
2024-10-14,Berlin,Organic,0.0,38779,1470,61
2024-10-14,Berlin,Affiliate,2555.27,89226,2657,114
2024-10-21,Berlin,Google Ads,9902.27,357029,8136,557
2024-10-21,Berlin,Meta,8609.28,280727,6582,239
2024-10-21,Berlin,Email,0.0,10019,533,44
2024-10-21,Berlin,Organic,0.0,18734,536,36
2024-10-21,Berlin,Affiliate,2931.14,110019,2530,147
2024-10-28,Berlin,Google Ads,9078.62,346579,6803,252
2024-10-28,Berlin,Meta,8950.71,348642,7599,286
2024-10-28,Berlin,Email,0.0,8612,265,20
2024-10-28,Berlin,Organic,0.0,19948,786,60
2024-10-28,Berlin,Affiliate,2779.16,100038,2469,106
2024-11-04,Berlin,Google Ads,10464.17,418206,10829,735
2024-11-04,Berlin,Meta,9198.98,338225,5093,335
2024-11-04,Berlin,Email,0.0,14531,579,41
2024-11-04,Berlin,Organic,0.0,29740,992,44
2024-11-04,Berlin,Affiliate,2793.03,85305,1808,124
2024-11-11,Berlin,Google Ads,9522.68,374523,6076,246
2024-11-11,Berlin,Meta,8146.09,293668,9485,618
2024-11-11,Berlin,Email,0.0,19184,1042,61
2024-11-11,Berlin,Organic,0.0,20952,492,26
2024-11-11,Berlin,Affiliate,2801.65,112040,1827,80
2024-11-18,Berlin,Google Ads,10063.44,347616,9802,565
2024-11-18,Berlin,Meta,7732.81,237744,7585,227
2024-11-18,Berlin,Email,0.0,11377,537,35
2024-11-18,Berlin,Organic,0.0,35950,1360,88
2024-11-18,Berlin,Affiliate,2662.1,83526,2818,172
2024-11-25,Berlin,Google Ads,9792.46,372616,12425,559
2024-11-25,Berlin,Meta,8493.93,243611,7147,470
2024-11-25,Berlin,Email,0.0,12860,418,21
2024-11-25,Berlin,Organic,0.0,23943,728,45
2024-11-25,Berlin,Affiliate,3029.38,94811,2606,112
2024-12-02,Berlin,Google Ads,9897.01,293777,6050,232
2024-12-02,Berlin,Meta,8623.09,257528,7798,461
2024-12-02,Berlin,Email,0.0,12913,696,55
2024-12-02,Berlin,Organic,0.0,23127,754,39
2024-12-02,Berlin,Affiliate,3304.09,117945,2946,106
2024-12-09,Berlin,Google Ads,10598.9,343310,6816,424
2024-12-09,Berlin,Meta,8991.61,287362,9062,526
2024-12-09,Berlin,Email,0.0,18283,1053,73
2024-12-09,Berlin,Organic,0.0,19192,646,31
2024-12-09,Berlin,Affiliate,3263.46,106422,1862,87
2024-12-16,Berlin,Google Ads,9917.52,305361,6768,442
2024-12-16,Berlin,Meta,8778.09,287403,5874,367
2024-12-16,Berlin,Email,0.0,18593,985,79
2024-12-16,Berlin,Organic,0.0,22457,552,26
2024-12-16,Berlin,Affiliate,2984.16,95967,1872,120
2024-12-23,Berlin,Google Ads,9371.89,269788,9439,373
2024-12-23,Berlin,Meta,8902.52,270371,8745,404
2024-12-23,Berlin,Email,0.0,14844,819,64
2024-12-23,Berlin,Organic,0.0,20617,800,38
2024-12-23,Berlin,Affiliate,3273.8,129319,4426,160
2024-12-30,Berlin,Google Ads,10088.05,353996,8951,308
2024-12-30,Berlin,Meta,8379.78,250555,4671,246
2024-12-30,Berlin,Email,0.0,17179,974,76
2024-12-30,Berlin,Organic,0.0,33985,794,42
2024-12-30,Berlin,Affiliate,3129.58,94630,3113,119
2025-01-06,Berlin,Google Ads,8989.47,267829,7386,396
2025-01-06,Berlin,Meta,8462.61,285793,4397,200
2025-01-06,Berlin,Email,0.0,17525,850,50
2025-01-06,Berlin,Organic,0.0,27438,891,43
2025-01-06,Berlin,Affiliate,2889.64,93055,3217,126
2025-01-13,Berlin,Google Ads,9324.61,361161,7607,415
2025-01-13,Berlin,Meta,8902.17,312678,9504,527
2025-01-13,Berlin,Email,0.0,10747,541,49
2025-01-13,Berlin,Organic,0.0,33163,781,39
2025-01-13,Berlin,Affiliate,3216.52,115116,3216,159
2025-01-20,Berlin,Google Ads,9804.03,281119,9262,305
2025-01-20,Berlin,Meta,8330.08,244139,4016,175
2025-01-20,Berlin,Email,0.0,18563,818,63
2025-01-20,Berlin,Organic,0.0,20744,523,33
2025-01-20,Berlin,Affiliate,2573.1,87430,2813,194
2025-01-27,Berlin,Google Ads,9769.95,354536,5918,319
2025-01-27,Berlin,Meta,9041.23,270548,8001,380
2025-01-27,Berlin,Email,0.0,8110,344,28
2025-01-27,Berlin,Organic,0.0,16689,418,19
2025-01-27,Berlin,Affiliate,3136.74,113240,3459,183
2025-02-03,Berlin,Google Ads,9570.6,374219,6143,382
2025-02-03,Berlin,Meta,8812.72,330541,4971,280
2025-02-03,Berlin,Email,0.0,16800,894,62
2025-02-03,Berlin,Organic,0.0,25618,609,38
2025-02-03,Berlin,Affiliate,2929.64,98456,2032,129
2025-02-10,Berlin,Google Ads,9832.0,298123,8259,355
2025-02-10,Berlin,Meta,8985.98,278519,9369,417
2025-02-10,Berlin,Email,0.0,18822,977,52
2025-02-10,Berlin,Organic,0.0,38441,799,43
2025-02-10,Berlin,Affiliate,2823.44,102694,2111,86
2025-02-17,Berlin,Google Ads,10145.49,381377,6761,461
2025-02-17,Berlin,Meta,8703.71,247568,4464,229
2025-02-17,Berlin,Email,0.0,17567,802,70
2025-02-17,Berlin,Organic,0.0,23757,478,29
2025-02-17,Berlin,Affiliate,2747.0,109868,3270,119
2025-02-24,Berlin,Google Ads,9611.52,374443,9575,641
2025-02-24,Berlin,Meta,8483.27,274411,4467,305
2025-02-24,Berlin,Email,0.0,13703,591,45
2025-02-24,Berlin,Organic,0.0,18501,401,26
2025-02-24,Berlin,Affiliate,2479.13,80907,1679,68
2025-03-03,Berlin,Google Ads,9726.6,320380,7256,228
2025-03-03,Berlin,Meta,8928.68,320329,6520,323
2025-03-03,Berlin,Email,0.0,19836,1108,69
2025-03-03,Berlin,Organic,0.0,37952,1244,90
2025-03-03,Berlin,Affiliate,2833.74,111081,1868,130
2025-03-10,Berlin,Google Ads,10021.16,395244,10040,690
2025-03-10,Berlin,Meta,9577.04,303115,10214,378
2025-03-10,Berlin,Email,0.0,8191,455,39
2025-03-10,Berlin,Organic,0.0,34836,1092,57
2025-03-10,Berlin,Affiliate,3289.41,114253,2065,124
2025-03-17,Berlin,Google Ads,9769.29,283982,9198,456
2025-03-17,Berlin,Meta,8863.82,310369,7707,449
2025-03-17,Berlin,Email,0.0,15130,815,43
2025-03-17,Berlin,Organic,0.0,21001,656,44
2025-03-17,Berlin,Affiliate,3095.25,110132,1765,110
2025-03-24,Berlin,Google Ads,9768.02,350349,11145,721
2025-03-24,Berlin,Meta,8886.21,296633,9337,507
2025-03-24,Berlin,Email,0.0,8443,477,31
2025-03-24,Berlin,Organic,0.0,17357,629,39
2025-03-24,Berlin,Affiliate,2987.04,113541,3005,146
2025-03-31,Berlin,Google Ads,9771.86,299428,5520,222
2025-03-31,Berlin,Meta,8182.19,234037,6199,307
2025-03-31,Berlin,Email,0.0,12323,412,29
2025-03-31,Berlin,Organic,0.0,34958,1222,89
2025-03-31,Berlin,Affiliate,3178.21,94872,3059,174
2025-04-07,Berlin,Google Ads,10450.36,398367,11217,591
2025-04-07,Berlin,Meta,9953.25,392310,7284,444
2025-04-07,Berlin,Email,0.0,13205,479,33
2025-04-07,Berlin,Organic,0.0,27226,644,30
2025-04-07,Berlin,Affiliate,3325.33,129743,2194,65
2025-04-14,Berlin,Google Ads,9545.8,310387,7465,472
2025-04-14,Berlin,Meta,8312.23,286120,9884,614
2025-04-14,Berlin,Email,0.0,8945,447,34
2025-04-14,Berlin,Organic,0.0,24199,513,31
2025-04-14,Berlin,Affiliate,2855.37,80846,1344,73
2025-04-21,Berlin,Google Ads,10522.69,327644,8877,554
2025-04-21,Berlin,Meta,9388.15,370669,12635,659
2025-04-21,Berlin,Email,0.0,15176,809,65
2025-04-21,Berlin,Organic,0.0,32682,1071,45
2025-04-21,Berlin,Affiliate,2361.18,69853,2310,152
2025-04-28,Berlin,Google Ads,9827.8,280154,7919,461
2025-04-28,Berlin,Meta,9131.14,276819,7679,465
2025-04-28,Berlin,Email,0.0,12054,510,34
2025-04-28,Berlin,Organic,0.0,33538,1209,81
2025-04-28,Berlin,Affiliate,2685.84,93017,1531,59
2025-05-05,Berlin,Google Ads,10141.44,381321,9342,577
2025-05-05,Berlin,Meta,8164.49,243457,4772,316
2025-05-05,Berlin,Email,0.0,11535,574,32
2025-05-05,Berlin,Organic,0.0,18639,680,50
2025-05-05,Berlin,Affiliate,2553.41,80225,1240,52
2025-05-12,Berlin,Google Ads,9734.53,344047,5733,255
2025-05-12,Berlin,Meta,8760.16,324019,5392,257
2025-05-12,Berlin,Email,0.0,14706,459,26
2025-05-12,Berlin,Organic,0.0,36801,870,47
2025-05-12,Berlin,Affiliate,2711.94,81750,1248,54
2025-05-19,Berlin,Google Ads,9788.01,391120,11301,351
2025-05-19,Berlin,Meta,8464.05,303246,7106,403
2025-05-19,Berlin,Email,0.0,9625,351,21
2025-05-19,Berlin,Organic,0.0,26872,978,48
2025-05-19,Berlin,Affiliate,2939.66,113939,2521,151
2025-05-26,Berlin,Google Ads,9966.9,334682,9488,367
2025-05-26,Berlin,Meta,9224.71,333699,7856,443
2025-05-26,Berlin,Email,0.0,8926,427,29
2025-05-26,Berlin,Organic,0.0,32581,1222,51
2025-05-26,Berlin,Affiliate,2883.98,105547,1586,110
2025-06-02,Berlin,Google Ads,9809.09,293014,5576,170
2025-06-02,Berlin,Meta,9060.78,326746,11054,364
2025-06-02,Berlin,Email,0.0,14366,565,54
2025-06-02,Berlin,Organic,0.0,27029,605,31
2025-06-02,Berlin,Affiliate,2569.14,97522,2084,80
2025-06-09,Berlin,Google Ads,11039.09,405459,11826,817
2025-06-09,Berlin,Meta,8487.83,269998,6501,237
2025-06-09,Berlin,Email,0.0,11370,442,32
2025-06-09,Berlin,Organic,0.0,17014,510,31
2025-06-09,Berlin,Affiliate,3076.25,110663,2229,75
2025-06-16,Berlin,Google Ads,9296.45,289361,7760,535
2025-06-16,Berlin,Meta,8711.97,285163,7973,346
2025-06-16,Berlin,Email,0.0,8385,467,32
2025-06-16,Berlin,Organic,0.0,25539,878,51
2025-06-16,Berlin,Affiliate,2887.57,99748,2225,79
2025-06-23,Berlin,Google Ads,10276.99,314839,7167,279
2025-06-23,Berlin,Meta,9532.84,293329,5141,166
2025-06-23,Berlin,Email,0.0,9881,540,32
2025-06-23,Berlin,Organic,0.0,38372,944,39
2025-06-23,Berlin,Affiliate,2747.6,95675,1489,49
2025-06-30,Berlin,Google Ads,9645.69,318953,6837,283
2025-06-30,Berlin,Meta,8805.75,264190,8336,465
2025-06-30,Berlin,Email,0.0,13358,720,56
2025-06-30,Berlin,Organic,0.0,31425,731,38
2025-06-30,Berlin,Affiliate,3630.59,132353,3909,262
2025-07-07,Berlin,Google Ads,9661.48,334556,5356,322
2025-07-07,Berlin,Meta,9419.34,352480,5816,260
2025-07-07,Berlin,Email,0.0,19390,1067,57
2025-07-07,Berlin,Organic,0.0,39673,1390,70
2025-07-07,Berlin,Affiliate,3356.33,112202,1699,113
2025-07-14,Berlin,Google Ads,9755.67,279973,8959,482
2025-07-14,Berlin,Meta,9063.7,289670,9477,500
2025-07-14,Berlin,Email,0.0,15463,634,49
2025-07-14,Berlin,Organic,0.0,19233,509,23
2025-07-14,Berlin,Affiliate,2914.68,87268,3051,126
2025-07-21,Berlin,Google Ads,9430.8,345771,10017,594
2025-07-21,Berlin,Meta,8598.21,242419,4062,196
2025-07-21,Berlin,Email,0.0,11650,661,49
2025-07-21,Berlin,Organic,0.0,25080,635,38
2025-07-21,Berlin,Affiliate,3075.85,110698,1817,65
2025-07-28,Berlin,Google Ads,9484.5,337187,9965,554
2025-07-28,Berlin,Meta,8502.12,263960,4282,278
2025-07-28,Berlin,Email,0.0,15995,498,38
2025-07-28,Berlin,Organic,0.0,25349,950,47
2025-07-28,Berlin,Affiliate,3025.43,98684,3168,158
2025-08-04,Berlin,Google Ads,10151.35,299401,7348,313
2025-08-04,Berlin,Meta,7896.04,225132,5908,296
2025-08-04,Berlin,Email,0.0,10736,623,34
2025-08-04,Berlin,Organic,0.0,39497,1382,86
2025-08-04,Berlin,Affiliate,2837.76,93269,2148,116
2025-08-11,Berlin,Google Ads,10968.42,393211,11168,562
2025-08-11,Berlin,Meta,9243.38,296258,5688,259
2025-08-11,Berlin,Email,0.0,8710,267,20
2025-08-11,Berlin,Organic,0.0,30183,895,61
2025-08-11,Berlin,Affiliate,3088.78,91793,2587,134
2025-08-18,Berlin,Google Ads,10573.05,394472,9157,620
2025-08-18,Berlin,Meta,8507.28,289578,9434,617
2025-08-18,Berlin,Email,0.0,16768,803,44
2025-08-18,Berlin,Organic,0.0,33314,1267,66
2025-08-18,Berlin,Affiliate,3063.75,93486,2785,153
2025-08-25,Berlin,Google Ads,8781.5,275988,6063,265
2025-08-25,Berlin,Meta,9233.19,350917,11302,466
2025-08-25,Berlin,Email,0.0,18959,570,36
2025-08-25,Berlin,Organic,0.0,37810,1304,81
2025-08-25,Berlin,Affiliate,2480.97,98930,2341,70
2025-09-01,Berlin,Google Ads,9941.8,396114,7401,308
2025-09-01,Berlin,Meta,9705.53,283394,7442,475
2025-09-01,Berlin,Email,0.0,8085,245,23
2025-09-01,Berlin,Organic,0.0,29420,1131,89
2025-09-01,Berlin,Affiliate,3006.75,119286,3505,145
2025-09-08,Berlin,Google Ads,9624.3,274162,6145,224
2025-09-08,Berlin,Meta,9034.51,354404,12179,794
2025-09-08,Berlin,Email,0.0,16746,823,75
2025-09-08,Berlin,Organic,0.0,17263,584,33
2025-09-08,Berlin,Affiliate,2972.51,91895,1789,75
2025-09-15,Berlin,Google Ads,10080.8,351293,9673,601
2025-09-15,Berlin,Meta,8357.17,311762,8730,549
2025-09-15,Berlin,Email,0.0,19375,1083,89
2025-09-15,Berlin,Organic,0.0,17207,623,48
2025-09-15,Berlin,Affiliate,3365.31,127039,4440,277
2025-09-22,Berlin,Google Ads,9947.97,331415,11158,772
2025-09-22,Berlin,Meta,9229.59,346653,7606,510
2025-09-22,Berlin,Email,0.0,18638,711,47
2025-09-22,Berlin,Organic,0.0,32233,1272,96
2025-09-22,Berlin,Affiliate,3108.14,92582,1977,76
2025-09-29,Berlin,Google Ads,10202.65,334584,6569,348
2025-09-29,Berlin,Meta,8253.27,317363,8172,355
2025-09-29,Berlin,Email,0.0,17661,736,69
2025-09-29,Berlin,Organic,0.0,23289,754,47
2025-09-29,Berlin,Affiliate,3054.32,102979,2159,138
2025-10-06,Berlin,Google Ads,19244.58,645828,11348,785
2025-10-06,Berlin,Meta,9200.01,329651,8108,389
2025-10-06,Berlin,Email,0.0,18190,650,35
2025-10-06,Berlin,Organic,0.0,36471,1284,87
2025-10-06,Berlin,Affiliate,3002.4,109900,3238,132
2025-10-13,Berlin,Google Ads,19546.04,726276,24111,1649
2025-10-13,Berlin,Meta,9211.51,295288,5568,387
2025-10-13,Berlin,Email,0.0,16803,571,55
2025-10-13,Berlin,Organic,0.0,19584,601,25
2025-10-13,Berlin,Affiliate,3228.96,128275,2118,104
2025-10-20,Berlin,Google Ads,17787.47,630450,14468,718
2025-10-20,Berlin,Meta,7863.58,279545,9117,350
2025-10-20,Berlin,Email,0.0,10146,312,29
2025-10-20,Berlin,Organic,0.0,20874,778,40
2025-10-20,Berlin,Affiliate,3275.26,112455,1692,94
2025-10-27,Berlin,Google Ads,17150.95,491729,12204,601
2025-10-27,Berlin,Meta,8451.16,288257,9083,290
2025-10-27,Berlin,Email,0.0,9543,348,21
2025-10-27,Berlin,Organic,0.0,20990,680,33
2025-10-27,Berlin,Affiliate,2920.02,102377,3229,194
2025-11-03,Berlin,Google Ads,18122.75,541480,16408,985
2025-11-03,Berlin,Meta,9027.6,263672,7419,443
2025-11-03,Berlin,Email,0.0,14984,591,55
