city,cohort_week,weeks_since_acquisition,cohort_size,active_customers,revenue
Berlin,2024-04-22,0,662,662,145078.4
Berlin,2024-04-22,4,662,455,102377.93
Berlin,2024-04-22,8,662,390,82195.89
Berlin,2024-04-22,12,662,278,60817.82
Berlin,2024-04-29,0,636,620,146724.2
Berlin,2024-04-29,4,636,479,95899.41
Berlin,2024-04-29,8,636,363,76337.88
Berlin,2024-04-29,12,636,268,57136.3
Berlin,2024-05-06,0,659,652,146460.09
Berlin,2024-05-06,4,659,492,113096.07
Berlin,2024-05-06,8,659,360,71886.27
Berlin,2024-05-06,12,659,277,60115.05
Berlin,2024-05-13,0,639,597,143990.21
Berlin,2024-05-13,4,639,470,99935.97
Berlin,2024-05-13,8,639,344,72812.46
Berlin,2024-05-13,12,639,258,54347.66
Berlin,2024-05-20,0,644,597,140566.65
Berlin,2024-05-20,4,644,476,104414.7
Berlin,2024-05-20,8,644,375,88428.81
Berlin,2024-05-20,12,644,270,53559.99
Berlin,2024-05-27,0,645,645,138646.72
Berlin,2024-05-27,4,645,490,105291.76
Berlin,2024-05-27,8,645,376,78289.98
Berlin,2024-05-27,12,645,249,53829.51
Berlin,2024-06-03,0,643,643,146981.04
Berlin,2024-06-03,4,643,474,95436.93
Berlin,2024-06-03,8,643,343,76256.6
Berlin,2024-06-03,12,643,273,59286.24
Berlin,2024-06-10,0,648,648,138490.91
Berlin,2024-06-10,4,648,432,99163.08
Berlin,2024-06-10,8,648,367,81359.9
Berlin,2024-06-10,12,648,256,57292.84
Berlin,2024-06-17,0,651,651,151755.31
Berlin,2024-06-17,4,651,486,106617.7
Berlin,2024-06-17,8,651,361,82512.59
Berlin,2024-06-17,12,651,281,58740.97
Berlin,2024-06-24,0,665,655,152164.76
Berlin,2024-06-24,4,665,497,107472.91
Berlin,2024-06-24,8,665,354,74473.36
Berlin,2024-06-24,12,665,285,67251.37
Berlin,2024-07-01,0,662,629,145047.05
Berlin,2024-07-01,4,662,511,116999.01
Berlin,2024-07-01,8,662,345,79434.36
Berlin,2024-07-01,12,662,265,62154.32
Berlin,2024-07-08,0,643,629,143607.04
Berlin,2024-07-08,4,643,482,97945.98
Berlin,2024-07-08,8,643,347,84801.02
Berlin,2024-07-08,12,643,270,57496.85
Berlin,2024-07-15,0,643,626,142399.4
Berlin,2024-07-15,4,643,457,100662.0
Berlin,2024-07-15,8,643,348,76836.34
Berlin,2024-07-15,12,643,261,56450.54
Berlin,2024-07-22,0,660,660,150331.62
Berlin,2024-07-22,4,660,497,115661.82
Berlin,2024-07-22,8,660,358,75492.34
Berlin,2024-07-22,12,660,278,65735.18
Berlin,2024-07-29,0,645,619,122452.85
Berlin,2024-07-29,4,645,491,107799.53
Berlin,2024-07-29,8,645,369,87777.17
Berlin,2024-07-29,12,645,243,55342.5
Berlin,2024-08-05,0,666,666,139367.61
Berlin,2024-08-05,4,666,473,97822.41
Berlin,2024-08-05,8,666,380,87535.74
Berlin,2024-08-05,12,666,239,52467.81
Berlin,2024-08-12,0,658,658,149687.54
Berlin,2024-08-12,4,658,470,107390.98
Berlin,2024-08-12,8,658,350,81903.46
Berlin,2024-08-12,12,658,267,54681.3
Berlin,2024-08-19,0,631,631,141127.96
Berlin,2024-08-19,4,631,462,107854.34
Berlin,2024-08-19,8,631,344,75934.41
Berlin,2024-08-19,12,631,252,56198.8
Berlin,2024-08-26,0,629,615,127101.45
Berlin,2024-08-26,4,629,443,104118.6
Berlin,2024-08-26,8,629,342,75863.01
Berlin,2024-08-26,12,629,256,49895.58
Berlin,2024-09-02,0,652,652,141898.55
Berlin,2024-09-02,4,652,486,111572.86
Berlin,2024-09-02,8,652,357,79883.67
Berlin,2024-09-02,12,652,259,59300.36
Berlin,2024-09-09,0,637,637,137100.74
Berlin,2024-09-09,4,637,421,83355.18
Berlin,2024-09-09,8,637,363,83943.28
Berlin,2024-09-09,12,637,288,63420.7
Berlin,2024-09-16,0,651,651,141072.62
Berlin,2024-09-16,4,651,514,103059.83
Berlin,2024-09-16,8,651,380,87282.79
Berlin,2024-09-16,12,651,271,64217.43
Berlin,2024-09-23,0,638,638,130748.74
Berlin,2024-09-23,4,638,442,95564.4
Berlin,2024-09-23,8,638,341,73645.36
Berlin,2024-09-23,12,638,262,54425.31
Berlin,2024-09-30,0,636,600,129746.55
Berlin,2024-09-30,4,636,484,99809.17
Berlin,2024-09-30,8,636,351,75856.27
Berlin,2024-09-30,12,636,253,56895.56
Berlin,2024-10-07,0,652,627,134252.78
Berlin,2024-10-07,4,652,467,102222.7
Berlin,2024-10-07,8,652,383,83729.05
Berlin,2024-10-07,12,652,279,64620.38
Berlin,2024-10-14,0,655,655,140375.75
Berlin,2024-10-14,4,655,516,121000.4
Berlin,2024-10-14,8,655,337,70998.91
Berlin,2024-10-14,12,655,259,54538.66
Berlin,2024-10-21,0,652,631,129902.09
Berlin,2024-10-21,4,652,444,93276.34
Berlin,2024-10-21,8,652,375,80556.89
Berlin,2024-10-21,12,652,267,62126.12
Berlin,2024-10-28,0,633,633,131989.99
Berlin,2024-10-28,4,633,442,96036.6
Berlin,2024-10-28,8,633,340,75895.52
Berlin,2024-10-28,12,633,253,55910.58
Berlin,2024-11-04,0,619,610,129304.38
Berlin,2024-11-04,4,619,462,103140.4
Berlin,2024-11-04,8,619,331,82180.73
Berlin,2024-11-04,12,619,263,59987.04
Berlin,2024-11-11,0,624,586,135815.28
Berlin,2024-11-11,4,624,502,113968.06
Berlin,2024-11-11,8,624,338,73705.98
Berlin,2024-11-11,12,624,261,56516.69
Berlin,2024-11-18,0,628,606,132755.37
Berlin,2024-11-18,4,628,449,90208.69
Berlin,2024-11-18,8,628,344,72797.34
Berlin,2024-11-18,12,628,259,57473.69
Berlin,2024-11-25,0,641,640,143831.24
Berlin,2024-11-25,4,641,470,102119.08
Berlin,2024-11-25,8,641,335,75346.47
Berlin,2024-11-25,12,641,263,61205.0
Berlin,2024-12-02,0,636,623,127883.46
Berlin,2024-12-02,4,636,459,106093.18
Berlin,2024-12-02,8,636,360,78462.36
Berlin,2024-12-02,12,636,249,55378.89
Berlin,2024-12-09,0,635,612,141725.33
Berlin,2024-12-09,4,635,441,88733.48
Berlin,2024-12-09,8,635,356,78702.98
Berlin,2024-12-09,12,635,257,58808.38
Berlin,2024-12-16,0,635,635,143859.97
Berlin,2024-12-16,4,635,491,110402.38
Berlin,2024-12-16,8,635,358,76721.64
Berlin,2024-12-16,12,635,250,56287.92
Berlin,2024-12-23,0,618,618,136070.56
Berlin,2024-12-23,4,618,497,113903.63
Berlin,2024-12-23,8,618,348,83586.03
Berlin,2024-12-23,12,618,252,57643.7
Berlin,2024-12-30,0,641,641,157062.46
Berlin,2024-12-30,4,641,461,109861.37
Berlin,2024-12-30,8,641,340,76789.27
Berlin,2024-12-30,12,641,260,59293.41
Berlin,2025-01-06,0,640,640,150877.92
Berlin,2025-01-06,4,640,488,112805.28
Berlin,2025-01-06,8,640,339,73721.14
Berlin,2025-01-06,12,640,288,61118.08
Berlin,2025-01-13,0,622,606,124663.1
Berlin,2025-01-13,4,622,445,103344.41
Berlin,2025-01-13,8,622,355,82092.33
Berlin,2025-01-13,12,622,253,59000.76
Berlin,2025-01-20,0,627,626,144585.86
Berlin,2025-01-20,4,627,442,96243.87
Berlin,2025-01-20,8,627,331,67975.9
Berlin,2025-01-20,12,627,250,58185.35
Berlin,2025-01-27,0,670,670,126150.64
Berlin,2025-01-27,4,670,494,104957.34
Berlin,2025-01-27,8,670,381,80206.43
Berlin,2025-01-27,12,670,290,63718.3
Berlin,2025-02-03,0,632,614,136690.94
Berlin,2025-02-03,4,632,478,103265.45
Berlin,2025-02-03,8,632,353,76608.04
Berlin,2025-02-03,12,632,255,60117.94
Berlin,2025-02-10,0,639,639,132599.53
Berlin,2025-02-10,4,639,476,106541.52
Berlin,2025-02-10,8,639,346,75415.58
Berlin,2025-02-10,12,639,247,50480.83
Berlin,2025-02-17,0,642,642,130484.76
Berlin,2025-02-17,4,642,499,110095.64
Berlin,2025-02-17,8,642,355,81259.4
Berlin,2025-02-17,12,642,262,55361.26
Berlin,2025-02-24,0,619,610,136405.77
Berlin,2025-02-24,4,619,466,97663.42
Berlin,2025-02-24,8,619,337,72444.13
Berlin,2025-02-24,12,619,251,54055.46
Berlin,2025-03-03,0,629,629,139807.8
Berlin,2025-03-03,4,629,460,109773.16
Berlin,2025-03-03,8,629,373,79412.6
Berlin,2025-03-03,12,629,256,60027.27
Berlin,2025-03-10,0,647,647,137530.25
Berlin,2025-03-10,4,647,490,110636.75
Berlin,2025-03-10,8,647,377,79938.31
Berlin,2025-03-10,12,647,258,58515.1
Berlin,2025-03-17,0,646,630,135198.2
Berlin,2025-03-17,4,646,486,102102.52
Berlin,2025-03-17,8,646,342,76696.71
Berlin,2025-03-17,12,646,265,60119.49
Berlin,2025-03-24,0,665,648,139343.24
Berlin,2025-03-24,4,665,465,102804.58
Berlin,2025-03-24,8,665,381,84777.91
Berlin,2025-03-24,12,665,280,64970.81
Berlin,2025-03-31,0,643,592,121405.61
Berlin,2025-03-31,4,643,465,95238.25
Berlin,2025-03-31,8,643,322,69839.76
Berlin,2025-03-31,12,643,229,48272.36
Berlin,2025-04-07,0,666,656,149310.32
Berlin,2025-04-07,4,666,495,102620.74
Berlin,2025-04-07,8,666,359,81455.88
Berlin,2025-04-07,12,666,253,55813.26
Berlin,2025-04-14,0,649,649,147548.78
Berlin,2025-04-14,4,649,500,110763.27
Berlin,2025-04-14,8,649,332,65591.5
Berlin,2025-04-14,12,649,275,59251.34
Berlin,2025-04-21,0,667,663,147726.12
Berlin,2025-04-21,4,667,547,115731.49
Berlin,2025-04-21,8,667,399,88676.18
Berlin,2025-04-21,12,667,276,65617.13
Berlin,2025-04-28,0,646,631,130456.9
Berlin,2025-04-28,4,646,471,106295.28
Berlin,2025-04-28,8,646,345,78372.6
Berlin,2025-04-28,12,646,249,52964.77
Berlin,2025-05-05,0,647,636,148675.75
Berlin,2025-05-05,4,647,487,116187.01
Berlin,2025-05-05,8,647,341,78993.48
Berlin,2025-05-05,12,647,262,54995.0
Berlin,2025-05-12,0,650,650,131456.38
Berlin,2025-05-12,4,650,502,111315.57
Berlin,2025-05-12,8,650,360,80182.7
Berlin,2025-05-12,12,650,246,56903.98
Berlin,2025-05-19,0,656,656,151895.44
Berlin,2025-05-19,4,656,493,109469.25
Berlin,2025-05-19,8,656,365,84402.6
Berlin,2025-05-19,12,656,262,52678.32
Berlin,2025-05-26,0,668,653,134981.3
Berlin,2025-05-26,4,668,496,112342.62
Berlin,2025-05-26,8,668,347,75465.83
Berlin,2025-05-26,12,668,262,54997.93
Berlin,2025-06-02,0,688,639,133638.77
Berlin,2025-06-02,4,688,539,115407.45
Berlin,2025-06-02,8,688,351,74634.86
Berlin,2025-06-02,12,688,257,54397.59
Berlin,2025-06-09,0,649,649,139848.51
Berlin,2025-06-09,4,649,514,119734.77
Berlin,2025-06-09,8,649,348,71189.32
Berlin,2025-06-09,12,649,261,54115.28
Berlin,2025-06-16,0,658,658,145234.98
Berlin,2025-06-16,4,658,490,110862.55
Berlin,2025-06-16,8,658,365,76183.44
Berlin,2025-06-16,12,658,269,61592.17
Berlin,2025-06-23,0,666,634,152517.85
Berlin,2025-06-23,4,666,485,103058.15
Berlin,2025-06-23,8,666,363,85661.51
Berlin,2025-06-23,12,666,272,61316.93
Berlin,2025-06-30,0,671,655,135457.91
Berlin,2025-06-30,4,671,465,110045.37
Berlin,2025-06-30,8,671,398,84519.23
Berlin,2025-06-30,12,671,263,55100.88
Berlin,2025-07-07,0,655,624,118388.46
Berlin,2025-07-07,4,655,483,108400.91
Berlin,2025-07-07,8,655,383,88183.25
Berlin,2025-07-07,12,655,271,62817.04
Berlin,2025-07-14,0,651,651,140247.2
Berlin,2025-07-14,4,651,485,95773.8
Berlin,2025-07-14,8,651,369,81818.66
Berlin,2025-07-14,12,651,262,63612.31
Berlin,2025-07-21,0,672,636,142006.43
Berlin,2025-07-21,4,672,505,105172.84
Berlin,2025-07-21,8,672,390,91700.18
Berlin,2025-07-21,12,672,303,67739.09
Berlin,2025-07-28,0,677,666,150816.84
Berlin,2025-07-28,4,677,509,102827.92
Berlin,2025-07-28,8,677,381,85672.26
Berlin,2025-07-28,12,677,276,59021.82
Berlin,2025-08-04,0,667,654,145638.0
Berlin,2025-08-04,4,667,486,102011.99
Berlin,2025-08-04,8,667,392,84736.99
Berlin,2025-08-04,12,667,257,52366.18
Berlin,2025-08-11,0,657,642,144922.93
Berlin,2025-08-11,4,657,480,103748.35
Berlin,2025-08-11,8,657,356,75156.76
Berlin,2025-08-11,12,657,262,54191.09
Berlin,2025-08-18,0,677,676,145502.89
Berlin,2025-08-18,4,677,495,109109.59
Berlin,2025-08-18,8,677,372,85307.15
Berlin,2025-08-18,12,677,255,58375.23
Berlin,2025-08-25,0,693,693,142181.4
Berlin,2025-08-25,4,693,523,111525.38
Berlin,2025-08-25,8,693,345,71860.95
Berlin,2025-08-25,12,693,272,55267.46
Berlin,2025-09-01,0,701,701,159975.26
Berlin,2025-09-01,4,701,507,112819.49
Berlin,2025-09-01,8,701,403,88217.5
Berlin,2025-09-01,12,701,280,68227.19
Berlin,2025-09-08,0,654,654,141265.32
Berlin,2025-09-08,4,654,485,103839.3
Berlin,2025-09-08,8,654,355,82755.49
Berlin,2025-09-08,12,654,263,55638.51
Berlin,2025-09-15,0,671,657,145111.15
Berlin,2025-09-15,4,671,506,110160.97
Berlin,2025-09-15,8,671,370,78669.5
Berlin,2025-09-15,12,671,267,55965.65
Berlin,2025-09-22,0,658,628,129321.95
Berlin,2025-09-22,4,658,502,107533.0
Berlin,2025-09-22,8,658,393,83707.47
Berlin,2025-09-22,12,658,271,56955.3
Berlin,2025-09-29,0,659,659,152836.1
Berlin,2025-09-29,4,659,485,110480.5
Berlin,2025-09-29,8,659,378,83857.14
Berlin,2025-09-29,12,659,247,62337.62
Berlin,2025-10-06,0,723,682,145189.33
Berlin,2025-10-06,4,723,444,98237.93
Berlin,2025-10-06,8,723,264,57471.86
Berlin,2025-10-13,0,712,712,162902.77
Berlin,2025-10-13,4,712,450,112909.31
Berlin,2025-10-13,8,712,258,52304.0
Berlin,2025-10-20,0,719,719,157543.04
Berlin,2025-10-20,4,719,424,91115.65
Berlin,2025-10-20,8,719,269,61019.62
Berlin,2025-10-27,0,735,709,155440.94
Berlin,2025-10-27,4,735,441,101251.81
Berlin,2025-10-27,8,735,286,63725.61
Berlin,2025-11-03,0,699,699,156304.43
Berlin,2025-11-03,4,699,416,98747.26
Berlin,2025-11-10,0,716,716,151003.68
Berlin,2025-11-10,4,716,438,102432.68
Berlin,2025-11-17,0,691,684,143543.07
Berlin,2025-11-17,4,691,421,98222.89
Berlin,2025-11-24,0,700,644,137134.84
Berlin,2025-11-24,4,700,439,98759.08
Berlin,2025-12-01,0,685,662,156139.4
Berlin,2025-12-08,0,688,657,156232.63
Berlin,2025-12-15,0,719,719,174940.71
Berlin,2025-12-22,0,695,695,162241.83
Munich,2024-01-01,0,424,421,100367.81
Munich,2024-01-01,4,424,260,62900.54
Munich,2024-01-01,8,424,157,37065.87
Munich,2024-01-01,12,424,107,24545.63
Munich,2024-01-08,0,381,381,79403.05
Munich,2024-01-08,4,381,235,56753.61
Munich,2024-01-08,8,381,155,34069.29
Munich,2024-01-08,12,381,92,20195.07
Munich,2024-01-15,0,404,404,97762.61
Munich,2024-01-15,4,404,260,60635.62
Munich,2024-01-15,8,404,152,32760.14
Munich,2024-01-15,12,404,98,22650.2
Munich,2024-01-22,0,392,385,82404.4
Munich,2024-01-22,4,392,232,56763.8
Munich,2024-01-22,8,392,147,33233.95
Munich,2024-01-22,12,392,94,21933.57
Munich,2024-01-29,0,394,393,90801.39
Munich,2024-01-29,4,394,235,55321.82
Munich,2024-01-29,8,394,151,34286.74
Munich,2024-01-29,12,394,90,19745.41
Munich,2024-02-05,0,379,369,90625.65
Munich,2024-02-05,4,379,243,52086.59
Munich,2024-02-05,8,379,149,33644.65
Munich,2024-02-05,12,379,96,22159.22
Munich,2024-02-12,0,393,393,84595.93
Munich,2024-02-12,4,393,241,59152.16
Munich,2024-02-12,8,393,152,32828.75
Munich,2024-02-12,12,393,93,21981.63
Munich,2024-02-19,0,411,411,97408.7
Munich,2024-02-19,4,411,274,64920.18
Munich,2024-02-19,8,411,162,39368.55
Munich,2024-02-19,12,411,100,23752.95
Munich,2024-02-26,0,387,381,91124.03
Munich,2024-02-26,4,387,258,56341.69
Munich,2024-02-26,8,387,149,35174.03
Munich,2024-02-26,12,387,100,22825.2
Munich,2024-03-04,0,412,412,100608.82
Munich,2024-03-04,4,412,254,59545.58
Munich,2024-03-04,8,412,151,36788.57
Munich,2024-03-04,12,412,100,24098.08
Munich,2024-03-11,0,416,416,93010.14
Munich,2024-03-11,4,416,263,64816.07
Munich,2024-03-11,8,416,165,38183.24
Munich,2024-03-11,12,416,99,22381.51
Munich,2024-03-18,0,415,398,91800.44
Munich,2024-03-18,4,415,258,60622.38
Munich,2024-03-18,8,415,171,39432.85
Munich,2024-03-18,12,415,97,23528.17
Munich,2024-03-25,0,421,421,91998.06
Munich,2024-03-25,4,421,262,59267.89
Munich,2024-03-25,8,421,156,36216.19
Munich,2024-03-25,12,421,105,26037.23
Munich,2024-04-01,0,422,418,101376.56
Munich,2024-04-01,4,422,258,57236.55
Munich,2024-04-01,8,422,160,37307.8
Munich,2024-04-01,12,422,98,24207.79
Munich,2024-04-08,0,441,441,106121.12
Munich,2024-04-08,4,441,282,65304.22
Munich,2024-04-08,8,441,166,41520.68
Munich,2024-04-08,12,441,114,27786.29
Munich,2024-04-15,0,436,423,88971.52
Munich,2024-04-15,4,436,270,57327.05
Munich,2024-04-15,8,436,169,42140.17
Munich,2024-04-15,12,436,101,22996.46
Munich,2024-04-22,0,413,401,100587.28
Munich,2024-04-22,4,413,274,63673.43
Munich,2024-04-22,8,413,158,38580.63
Munich,2024-04-22,12,413,95,21089.57
Munich,2024-04-29,0,450,450,106085.07
Munich,2024-04-29,4,450,281,67911.19
Munich,2024-04-29,8,450,178,39111.68
Munich,2024-04-29,12,450,106,26109.86
Munich,2024-05-06,0,436,436,102846.38
Munich,2024-05-06,4,436,279,60827.32
Munich,2024-05-06,8,436,171,41931.9
Munich,2024-05-06,12,436,97,24944.17
Munich,2024-05-13,0,441,441,110472.97
Munich,2024-05-13,4,441,264,61901.49
Munich,2024-05-13,8,441,162,40829.05
Munich,2024-05-13,12,441,101,23632.93
Munich,2024-05-20,0,420,408,94639.1
Munich,2024-05-20,4,420,260,62519.93
Munich,2024-05-20,8,420,153,33949.49
Munich,2024-05-20,12,420,96,22858.12
Munich,2024-05-27,0,460,412,97414.27
Munich,2024-05-27,4,460,277,64304.13
Munich,2024-05-27,8,460,181,40165.3
Munich,2024-05-27,12,460,109,26446.45
Munich,2024-06-03,0,447,447,117282.29
Munich,2024-06-03,4,447,264,59353.88
Munich,2024-06-03,8,447,163,35390.18
Munich,2024-06-03,12,447,108,25082.95
Munich,2024-06-10,0,413,410,103757.42
Munich,2024-06-10,4,413,281,65945.5
Munich,2024-06-10,8,413,152,35235.82
Munich,2024-06-10,12,413,97,24376.08
Munich,2024-06-17,0,425,425,96325.29
Munich,2024-06-17,4,425,256,54028.11
Munich,2024-06-17,8,425,160,36807.69
Munich,2024-06-17,12,425,99,23798.36
Munich,2024-06-24,0,422,389,97496.94
Munich,2024-06-24,4,422,283,64284.7
Munich,2024-06-24,8,422,169,43195.09
Munich,2024-06-24,12,422,98,23677.63
Munich,2024-07-01,0,455,431,102236.47
Munich,2024-07-01,4,455,275,70485.69
Munich,2024-07-01,8,455,172,44991.79
Munich,2024-07-01,12,455,100,23547.43
Munich,2024-07-08,0,469,469,118045.89
Munich,2024-07-08,4,469,278,68313.48
Munich,2024-07-08,8,469,173,37141.04
Munich,2024-07-08,12,469,111,25470.54
Munich,2024-07-15,0,453,433,101890.39
Munich,2024-07-15,4,453,285,72322.13
Munich,2024-07-15,8,453,181,39630.59
Munich,2024-07-15,12,453,111,27741.47
Munich,2024-07-22,0,464,453,102388.45
Munich,2024-07-22,4,464,284,64892.15
Munich,2024-07-22,8,464,187,43792.53
Munich,2024-07-22,12,464,104,23027.22
Munich,2024-07-29,0,437,437,103931.32
Munich,2024-07-29,4,437,267,63194.31
Munich,2024-07-29,8,437,185,43836.72
Munich,2024-07-29,12,437,99,23621.12
Munich,2024-08-05,0,426,426,109264.33
Munich,2024-08-05,4,426,250,55032.68
Munich,2024-08-05,8,426,158,37487.31
Munich,2024-08-05,12,426,101,23395.67
Munich,2024-08-12,0,445,440,104896.65
Munich,2024-08-12,4,445,269,60840.18
Munich,2024-08-12,8,445,162,39006.6
Munich,2024-08-12,12,445,110,25364.28
Munich,2024-08-19,0,435,435,104823.53
Munich,2024-08-19,4,435,269,65241.51
Munich,2024-08-19,8,435,162,36324.94
Munich,2024-08-19,12,435,103,23386.3
Munich,2024-08-26,0,423,417,89255.3
Munich,2024-08-26,4,423,262,60141.67
Munich,2024-08-26,8,423,161,40622.86
Munich,2024-08-26,12,423,100,26247.64
Munich,2024-09-02,0,409,400,100362.94
Munich,2024-09-02,4,409,265,61738.97
Munich,2024-09-02,8,409,150,36051.87
Munich,2024-09-02,12,409,96,22776.84
Munich,2024-09-09,0,429,381,82571.27
Munich,2024-09-09,4,429,269,64540.24
Munich,2024-09-09,8,429,165,41673.6
Munich,2024-09-09,12,429,105,26764.29
Munich,2024-09-16,0,412,412,99084.34
Munich,2024-09-16,4,412,252,59029.86
Munich,2024-09-16,8,412,153,36891.41
Munich,2024-09-16,12,412,105,24262.08
Munich,2024-09-23,0,439,423,98818.9
Munich,2024-09-23,4,439,266,58048.58
Munich,2024-09-23,8,439,168,37767.26
Munich,2024-09-23,12,439,105,26092.44
Munich,2024-09-30,0,416,400,95165.46
Munich,2024-09-30,4,416,252,54900.22
Munich,2024-09-30,8,416,167,37095.2
Munich,2024-09-30,12,416,99,22372.88
Munich,2024-10-07,0,399,386,88487.48
Munich,2024-10-07,4,399,228,55902.92
Munich,2024-10-07,8,399,157,33717.2
Munich,2024-10-07,12,399,98,22969.13
Munich,2024-10-14,0,415,415,99810.34
Munich,2024-10-14,4,415,253,59921.53
Munich,2024-10-14,8,415,151,35394.59
Munich,2024-10-14,12,415,96,22949.83
Munich,2024-10-21,0,420,420,96268.08
Munich,2024-10-21,4,420,257,58452.69
Munich,2024-10-21,8,420,155,35841.91
Munich,2024-10-21,12,420,110,25619.85
Munich,2024-10-28,0,423,423,110559.85
Munich,2024-10-28,4,423,270,59950.25
Munich,2024-10-28,8,423,168,38736.09
Munich,2024-10-28,12,423,90,20050.86
Munich,2024-11-04,0,426,426,103109.59
Munich,2024-11-04,4,426,259,64508.39
Munich,2024-11-04,8,426,165,37480.29
Munich,2024-11-04,12,426,108,26716.91
Munich,2024-11-11,0,404,403,92585.6
Munich,2024-11-11,4,404,244,63830.34
Munich,2024-11-11,8,404,151,34618.9
Munich,2024-11-11,12,404,97,23158.74
Munich,2024-11-18,0,415,415,99622.63
Munich,2024-11-18,4,415,275,69174.65
Munich,2024-11-18,8,415,169,43525.68
Munich,2024-11-18,12,415,92,21634.68
Munich,2024-11-25,0,406,392,96180.05
Munich,2024-11-25,4,406,260,59933.27
Munich,2024-11-25,8,406,155,36839.38
Munich,2024-11-25,12,406,98,25661.98
Munich,2024-12-02,0,374,321,80782.9
Munich,2024-12-02,4,374,237,58634.91
Munich,2024-12-02,8,374,139,30986.75
Munich,2024-12-02,12,374,85,19994.91
Munich,2024-12-09,0,407,394,92933.5
Munich,2024-12-09,4,407,262,61809.22
Munich,2024-12-09,8,407,151,35650.86
Munich,2024-12-09,12,407,95,23511.15
Munich,2024-12-16,0,400,400,97368.01
Munich,2024-12-16,4,400,241,58411.74
Munich,2024-12-16,8,400,169,41213.38
Munich,2024-12-16,12,400,101,24743.2
Munich,2024-12-23,0,415,415,98113.63
Munich,2024-12-23,4,415,257,58909.35
Munich,2024-12-23,8,415,161,38105.42
Munich,2024-12-23,12,415,99,23669.6
Munich,2024-12-30,0,394,385,86841.74
Munich,2024-12-30,4,394,242,56483.14
Munich,2024-12-30,8,394,156,35949.47
Munich,2024-12-30,12,394,91,23518.17
Munich,2025-01-06,0,398,398,99173.94
Munich,2025-01-06,4,398,243,50702.44
Munich,2025-01-06,8,398,158,36795.38
Munich,2025-01-06,12,398,94,22137.48
Munich,2025-01-13,0,398,384,90810.25
Munich,2025-01-13,4,398,255,67555.43
Munich,2025-01-13,8,398,157,37374.67
Munich,2025-01-13,12,398,95,23706.24
Munich,2025-01-20,0,435,432,95936.17
Munich,2025-01-20,4,435,257,60004.13
Munich,2025-01-20,8,435,164,39825.86
